Date,INF
2010-07-01,1.13
2010-10-01,1.27
2011-01-01,2.13
2011-04-01,3.47
2011-07-01,3.77
2011-10-01,3.3
2012-01-01,2.83
2012-04-01,1.9
2012-07-01,1.7
2012-10-01,1.9
2013-01-01,1.7
2013-04-01,1.43
2013-07-01,1.57
2013-10-01,1.23
2014-01-01,1.4
2014-04-01,2.07
2014-07-01,1.8
2014-10-01,1.27
2015-01-01,-0.07
2015-04-01,-0.03
2015-07-01,0.13
2015-10-01,0.47
2016-01-01,1.1
2016-04-01,1.03
2016-07-01,1.13
2016-10-01,1.8
2017-01-01,2.53
2017-04-01,1.9
2017-07-01,1.93
2017-10-01,2.1
2018-01-01,2.23
2018-04-01,2.73
2018-07-01,2.63
2018-10-01,2.2
2019-01-01,1.67
2019-04-01,1.8
2019-07-01,1.73
2019-10-01,2.07
